PlantNum,WTM_X,WTM_Y,AY,Course,Density,Bed,PlotID,Row,RowID,OldLocFt,NewLoc,NewLocFt,NewLocIn,NewLocDecFt,NewLocM,PlotLen,PlotLenFt,PlotLenIn,PlotLenDecFt,PlotLen_m,RelativePos,FrontX_WTM,BackX_WTM,FrontY_WTM,BackY_WTM
1,556043.1908,405112.1373,0,1,High,2,H-102,1,H-102-1,1'11,2'10,2,10,2.8333,0.8636,21'6,21,6,21.5,6.5532,0.131782946,556043.1761,556043.2876,405111.2948,405117.6877
2,556043.8992,405078.1952,1,5,High,2,H-502,2,H-502-2,20'2,21'0,21,0,21,6.4008,22'4,22,4,22.3333,6.8072,0.940298507,556044.015,556043.8919,405071.7716,405078.603
3,556082.624,405095.4828,0,3,Low,5,L-305,3,L-305-3,13'0,13'10,13,10,13.8333,4.2164,20'6,20,6,20.5,6.2484,0.674796748,556082.727,556082.5744,405091.2771,405097.5097
4,556078.347,405072.0866,0,5,Low,3,L-503,1,L-503-1,1'8,1'8,1,8,1.6667,0.508,20'9,20,9,20.75,6.3246,0.080321285,556078.3516,556078.2938,405071.5675,405078.0306
5,556068.0207,405116.9896,0,1,High,5,H-115,3,H-115-3,19'6,20'2,20,2,20.1667,6.1468,20'11,20,11,20.9167,6.3754,0.964143426,556068.0566,556068.0194,405111.0045,405117.2122
6,556067.5732,405116.147,1,1,High,5,H-115,2,H-115-2,16'7,17'4,17,4,17.3333,5.2832,20'11,20,11,20.9167,6.3754,0.828685259,556067.5861,556067.5705,405111.0064,405117.2097
7,556067.573,405116.1964,1,1,High,5,H-115,2,H-115-2,16'6,17'6,17,6,17.5,5.334,20'11,20,11,20.9167,6.3754,0.836653386,556067.5861,556067.5705,405111.0064,405117.2097
8,556062.5378,405092.0906,0,3,High,2,H-312,3,H-312-3,1'10,2'4,2,4,2.3333,0.7112,21'0,21,0,21,6.4008,0.111111111,556062.5388,556062.5298,405091.3876,405097.7142
9,556084.0426,405081.8991,1,4,Low,6,L-406,2,L-406-2,1'0,1'4,1,4,1.3333,0.4064,20'3,20,3,20.25,6.1722,0.065843621,556084.0394,556084.0876,405081.4887,405087.7213
10,556103.6142,405083.1616,0,4,Low,7,L-417,1,L-417-1,5'8,6'1,6,1,6.0833,1.8542,20'4,20,4,20.3333,6.1976,0.299180328,556103.6149,556103.6124,405081.3216,405087.4718
11,556043.228,405114.2682,1,1,High,2,H-102,1,H-102-1,9'1,10'0,10,0,10,3.048,21'6,21,6,21.5,6.5532,0.465116279,556043.1761,556043.2876,405111.2948,405117.6877
12,556043.2738,405116.8948,1,1,High,2,H-102,1,H-102-1,18'3,18'10,18,10,18.8333,5.7404,21'6,21,6,21.5,6.5532,0.875968992,556043.1761,556043.2876,405111.2948,405117.6877
13,556067.0315,405111.7138,1,1,High,5,H-115,1,H-115-1,1'9,2'5,2,5,2.4167,0.7366,20'11,20,11,20.9167,6.3754,0.115537849,556067.0252,556067.08,405110.9966,405117.2037
14,556087.1907,405116.4846,1,1,Low,8,L-108,1,L-108-1,18'3,18'11,18,11,18.9167,5.7658,21'0,21,0,21,6.4008,0.900793651,556087.1632,556087.1937,405110.8403,405117.1062
15,556087.1918,405116.7084,1,1,Low,8,L-108,1,L-108-1,19'0,19'8,19,8,19.6667,5.9944,21'0,21,0,21,6.4008,0.936507937,556087.1632,556087.1937,405110.8403,405117.1062
16,556093.4413,405116.0602,1,1,Low,1,L-111,3,L-111-3,17'4,17'8,17,8,17.6667,5.3848,20'5,20,5,20.4167,6.223,0.865306122,556093.4532,556093.4394,405110.7338,405116.8893
17,556099.9568,405101.7715,1,2,Low,5,L-215,1,L-215-1,2'9,3'8,3,8,3.6667,1.1176,20'8,20,8,20.6667,6.2992,0.177419355,556099.9608,556099.9382,405100.6772,405106.8451
18,556099.9462,405104.6565,0,2,Low,5,L-215,1,L-215-1,12'8,13'4,13,4,13.3333,4.064,20'8,20,8,20.6667,6.2992,0.64516129,556099.9608,556099.9382,405100.6772,405106.8451
19,556099.9387,405106.6959,0,2,Low,5,L-215,1,L-215-1,19'3,20'2,20,2,20.1667,6.1468,20'8,20,8,20.6667,6.2992,0.975806452,556099.9608,556099.9382,405100.6772,405106.8451
20,556051.6595,405091.8278,1,3,High,6,H-306,3,H-306-3,0'0,0'8,0,8,0.6667,0.2032,20'7,20,7,20.5833,6.2738,0.032388664,556051.6608,556051.6218,405091.6257,405097.8656
21,556082.1814,405091.6837,1,3,Low,5,L-305,2,L-305-2,0'6,1'3,1,3,1.25,0.381,20'6,20,6,20.5,6.2484,0.06097561,556082.186,556082.111,405091.3041,405097.5294
22,556104.1168,405084.8844,1,4,Low,7,L-417,2,L-417-2,11'4,11'10,11,10,11.8333,3.6068,20'5,20,5,20.4167,6.223,0.579591837,556104.1415,556104.0989,405081.3212,405087.4689
23,556078.3509,405071.6454,1,5,Low,3,L-503,1,L-503-1,0'0,NA,,,0,0.0762,20'9,20,9,20.75,6.3246,0.012048193,556078.3516,556078.2938,405071.5675,405078.0306
24,556078.334,405073.5402,1,5,Low,3,L-503,1,L-503-1,6'4,6'4,6,4,6.3333,1.9304,20'9,20,9,20.75,6.3246,0.305220884,556078.3516,556078.2938,405071.5675,405078.0306
25,556044.4366,405078.313,1,5,High,2,H-502,3,H-502-3,21'2,21'4,21,4,21.3333,6.5024,22'3,22,3,22.25,6.7818,0.958801498,556044.5983,556044.4297,405071.7749,405078.5939
26,556093.7277,405072.7851,1,5,Low,1,L-511,3,L-511-3,3'10,3'9,3,9,3.75,1.143,20'5,20,5,20.4167,6.223,0.183673469,556093.725,556093.7397,405071.6451,405077.852
27,556104.1259,405083.5795,1,4,Low,7,L-417,2,L-417-2,7'2,7'6,7,6,7.5,2.286,20'5,20,5,20.4167,6.223,0.367346939,556104.1415,556104.0989,405081.3212,405087.4689
28,556084.5311,405083.3152,1,4,Low,6,L-406,3,L-406-3,5'8,5'11,5,11,5.9167,1.8034,20'3,20,3,20.25,6.1722,0.29218107,556084.549,556084.4878,405081.5015,405087.709
29,556084.5304,405083.3918,1,4,Low,6,L-406,3,L-406-3,5'10,6'2,6,2,6.1667,1.8796,20'3,20,3,20.25,6.1722,0.304526749,556084.549,556084.4878,405081.5015,405087.709
30,556084.5193,405084.5158,1,4,Low,6,L-406,3,L-406-3,9'5,9'10,9,10,9.8333,2.9972,20'3,20,3,20.25,6.1722,0.485596708,556084.549,556084.4878,405081.5015,405087.709
31,556083.5048,405082.6174,1,4,Low,6,L-406,1,L-406-1,3'5,3'6,3,6,3.5,1.0668,20'2,20,2,20.1667,6.1468,0.173553719,556083.5021,556083.5177,405081.5413,405087.7415
32,556084.5158,405084.8735,1,4,Low,6,L-406,3,L-406-3,10'7,11'0,11,0,11,3.3528,20'3,20,3,20.25,6.1722,0.543209877,556084.549,556084.4878,405081.5015,405087.709
33,556084.5185,405084.5925,0,4,Low,6,L-406,3,L-406-3,9'7,10'1,10,1,10.0833,3.0734,20'3,20,3,20.25,6.1722,0.497942387,556084.549,556084.4878,405081.5015,405087.709
34,556060.7788,405083.4322,1,4,High,1,H-411,3,H-411-3,6'6,5'10,5,10,5.8333,1.778,21'4,21,4,21.3333,6.5024,0.2734375,556060.7932,556060.7406,405081.6935,405088.0521
35,556060.2535,405084.0429,1,4,High,1,H-411,2,H-411-2,7'6,7'9,7,9,7.75,2.3622,21'0,21,0,21,6.4008,0.369047619,556060.2858,556060.1983,405081.7074,405088.0358
36,556082.1482,405094.4421,1,3,Low,5,L-305,2,L-305-2,10'0,10'4,10,4,10.3333,3.1496,20'6,20,6,20.5,6.2484,0.504065041,556082.186,556082.111,405091.3041,405097.5294
37,556052.9687,405101.7097,1,2,High,7,H-207,2,H-207-2,1'2,1'4,1,4,1.3333,0.4064,20'11,20,11,20.9167,6.3754,0.06374502,556052.9705,556052.9416,405101.3085,405107.6028
38,556068.0351,405114.5906,1,1,High,5,H-115,3,H-115-3,13'8,12'1,12,1,12.0833,3.683,20'11,20,11,20.9167,6.3754,0.577689243,556068.0566,556068.0194,405111.0045,405117.2122
39,556093.447,405113.4975,1,1,Low,1,L-111,3,L-111-3,8'5,9'2,9,2,9.1667,2.794,20'5,20,5,20.4167,6.223,0.448979592,556093.4532,556093.4394,405110.7338,405116.8893
40,556093.4427,405115.4321,1,1,Low,1,L-111,3,L-111-3,15'0,15'7,15,7,15.5833,4.7498,20'5,20,5,20.4167,6.223,0.763265306,556093.4532,556093.4394,405110.7338,405116.8893
41,556078.2959,405077.797,1,5,Low,3,L-503,1,L-503-1,19'9,20'0,20,0,20,6.096,20'9,20,9,20.75,6.3246,0.963855422,556078.3516,556078.2938,405071.5675,405078.0306
42,556093.7256,405071.8984,0,5,Low,1,L-511,3,L-511-3,0'10,0'10,0,10,0.8333,0.254,20'5,20,5,20.4167,6.223,0.040816327,556093.725,556093.7397,405071.6451,405077.852
43,556093.7283,405073.0385,0,5,Low,1,L-511,3,L-511-3,4'6,4'7,4,7,4.5833,1.397,20'5,20,5,20.4167,6.223,0.224489796,556093.725,556093.7397,405071.6451,405077.852
44,556100.5445,405093.6929,0,3,Low,5,L-315,2,L-315-2,19'3,8'10,8,10,8.8333,2.6924,20'9,20,9,20.75,6.3246,0.425702811,556100.5897,556100.4836,405091.0395,405097.2724
45,556070.5294,405105.7026,0,2,High,7,H-217,1,H-217-1,14'9,14'10,14,10,14.8333,4.5212,20'2,20,2,20.1667,6.1468,0.73553719,556070.5407,556070.5254,405101.2836,405107.2914
46,556092.9668,405115.3808,1,1,Low,1,L-111,2,L-111-2,13'8,15'4,15,4,15.3333,4.6736,20'5,20,5,20.4167,6.223,0.751020408,556092.9466,556092.9735,405110.7509,405116.9157
47,556043.4248,405077.1082,1,5,High,2,H-502,1,H-502-1,17'3,17'5,17,5,17.4167,5.3086,22'3,22,3,22.25,6.7818,0.782771536,556043.4452,556043.4191,405071.7707,405078.5894
48,556044.4417,405078.1087,1,5,High,2,H-502,3,H-502-3,20'4,20'8,20,8,20.6667,6.2992,22'3,22,3,22.25,6.7818,0.928838951,556044.5983,556044.4297,405071.7749,405078.5939
49,556057.2694,405073.7906,0,5,High,9,H-509,3,H-509-3,6'9,6'11,6,11,6.9167,2.1082,22'0,22,0,22,6.7056,0.314393939,556057.2855,556057.2343,405071.6777,405078.3984
50,556057.2624,405074.7071,0,5,High,9,H-509,3,H-509-3,9'9,9'11,9,11,9.9167,3.0226,22'0,22,0,22,6.7056,0.450757576,556057.2855,556057.2343,405071.6777,405078.3984
51,556057.2605,405074.9617,1,5,High,9,H-509,3,H-509-3,10'7,10'9,10,9,10.75,3.2766,22'0,22,0,22,6.7056,0.488636364,556057.2855,556057.2343,405071.6777,405078.3984
52,556078.2973,405077.6413,1,5,Low,3,L-503,1,L-503-1,19'2,19'6,19,6,19.5,5.9436,20'9,20,9,20.75,6.3246,0.939759036,556078.3516,556078.2938,405071.5675,405078.0306
53,556078.3504,405071.6973,1,5,Low,3,L-503,1,L-503-1,0'5,0'5,0,5,0.4167,0.127,20'9,20,9,20.75,6.3246,0.020080321,556078.3516,556078.2938,405071.5675,405078.0306
54,556079.309,405075.362,1,5,Low,3,L-503,3,L-503-3,12'1,12'6,12,6,12.5,3.81,21'3,21,3,21.25,6.477,0.588235294,556079.3111,556079.3076,405071.5561,405078.0262
55,556103.6128,405086.5392,1,4,Low,7,L-417,1,L-417-1,17'1,17'3,17,3,17.25,5.2578,20'4,20,4,20.3333,6.1976,0.848360656,556103.6149,556103.6124,405081.3216,405087.4718
56,556103.6127,405086.6148,1,4,Low,7,L-417,1,L-417-1,17'5,17'6,17,6,17.5,5.334,20'4,20,4,20.3333,6.1976,0.860655738,556103.6149,556103.6124,405081.3216,405087.4718
57,556104.1026,405086.942,1,4,Low,7,L-417,2,L-417-2,18'1,18'8,18,8,18.6667,5.6896,20'5,20,5,20.4167,6.223,0.914285714,556104.1415,556104.0989,405081.3212,405087.4689
58,556083.5026,405081.7206,1,4,Low,6,L-406,1,L-406-1,0'4,0'7,0,7,0.5833,0.1778,20'2,20,2,20.1667,6.1468,0.02892562,556083.5021,556083.5177,405081.5413,405087.7415
59,556059.7439,405084.394,0,4,High,1,H-411,1,H-411-1,8'5,8'11,8,11,8.9167,2.7178,21'0,21,0,21,6.4008,0.424603175,556059.7896,556059.682,405081.698,405088.0475
60,556044.5339,405074.3801,1,5,High,2,H-502,3,H-502-3,19'11,NA,,,0,2.591,22'3,22,3,22.25,6.7818,0.382051963,556044.5983,556044.4297,405071.7749,405078.5939
61,556061.5319,405096.1795,1,3,High,2,H-312,1,H-312-1,15'5,15'11,15,11,15.9167,4.8514,21'0,21,0,21,6.4008,0.757936508,556061.5315,556061.532,405091.3809,405097.7121
62,556062.0044,405096.0583,1,3,High,2,H-312,2,H-312-2,14'5,15'6,15,6,15.5,4.7244,21'0,21,0,21,6.4008,0.738095238,556061.9804,556062.0129,405091.3745,405097.7203
63,556100.0619,405094.3009,1,3,Low,5,L-315,1,L-315-1,10'6,10'10,10,10,10.8333,3.302,20'9,20,9,20.75,6.3246,0.522088353,556100.1064,556100.0211,405091.0513,405097.2755
64,556100.4667,405103.2398,1,2,Low,5,L-215,2,L-215-2,8'6,NA,,,0,2.591,20'7,20,7,20.5833,6.2738,0.412987344,556100.4856,556100.4398,405100.688,405106.8668
65,556100.979,405095.6416,1,3,Low,5,L-315,3,L-315-3,14'10,15'3,15,3,15.25,4.6482,20'8,20,8,20.6667,6.2992,0.737903226,556101.065,556100.9485,405091.0555,405097.2705
66,556099.9603,405100.8264,1,2,Low,5,L-215,1,L-215-1,0'0,0'6,0,6,0.5,0.1524,20'8,20,8,20.6667,6.2992,0.024193548,556099.9608,556099.9382,405100.6772,405106.8451
67,556100.9442,405101.2894,1,2,Low,5,L-215,3,L-215-3,1'8,2'0,2,0,2,0.6096,20'5,20,5,20.4167,6.223,0.097959184,556100.9473,556100.9153,405100.6871,405106.836
68,556053.472,405102.2895,1,2,High,7,H-207,3,H-207-3,2'10,3'3,3,3,3.25,0.9906,20'11,20,11,20.9167,6.3754,0.155378486,556053.4745,556053.4584,405101.3101,405107.6134
69,556053.468,405103.8465,1,2,High,7,H-207,3,H-207-3,8'0,8'5,8,5,8.4167,2.5654,20'11,20,11,20.9167,6.3754,0.402390438,556053.4745,556053.4584,405101.3101,405107.6134
70,556052.4675,405105.9166,0,2,High,7,H-207,1,H-207-1,15'3,15'4,15,4,15.3333,4.6736,20'11,20,11,20.9167,6.3754,0.733067729,556052.4424,556052.4767,405101.3022,405107.5969
71,556052.4752,405107.321,0,2,High,7,H-207,1,H-207-1,20'0,20'0,20,0,20,6.096,20'11,20,11,20.9167,6.3754,0.956175299,556052.4424,556052.4767,405101.3022,405107.5969
72,556052.4696,405106.2928,1,2,High,7,H-207,1,H-207-1,16'7,16'7,16,7,16.5833,5.0546,20'11,20,11,20.9167,6.3754,0.792828685,556052.4424,556052.4767,405101.3022,405107.5969
73,556068.0345,405114.6895,1,1,High,5,H-115,3,H-115-3,12'0,12'5,12,5,12.4167,3.7846,20'11,20,11,20.9167,6.3754,0.593625498,556068.0566,556068.0194,405111.0045,405117.2122
74,556068.0336,405114.8379,1,1,High,5,H-115,3,H-115-3,12'6,12'11,12,11,12.9167,3.937,20'11,20,11,20.9167,6.3754,0.61752988,556068.0566,556068.0194,405111.0045,405117.2122
75,556087.6992,405113.0073,0,1,Low,8,L-108,2,L-108-2,6'10,7'4,7,4,7.3333,2.2352,21'0,21,0,21,6.4008,0.349206349,556087.7291,556087.6434,405110.8102,405117.102
76,556087.6781,405114.5553,0,1,Low,8,L-108,2,L-108-2,12'0,12'6,12,6,12.5,3.81,21'0,21,0,21,6.4008,0.595238095,556087.7291,556087.6434,405110.8102,405117.102
77,556087.1932,405117.0067,0,1,Low,8,L-108,1,L-108-1,19'10,20'8,20,8,20.6667,6.2992,21'0,21,0,21,6.4008,0.984126984,556087.1632,556087.1937,405110.8403,405117.1062
78,556092.9575,405113.242,1,1,Low,1,L-111,2,L-111-2,6'3,8'3,8,3,8.25,2.5146,20'5,20,5,20.4167,6.223,0.404081633,556092.9466,556092.9735,405110.7509,405116.9157
79,556043.4353,405074.3501,0,5,High,2,H-502,1,H-502-1,7'11,8'5,8,5,8.4167,2.5654,22'3,22,3,22.25,6.7818,0.378277154,556043.4452,556043.4191,405071.7707,405078.5894
80,556043.4336,405074.8097,1,5,High,2,H-502,1,H-502-1,9'5,9'11,9,11,9.9167,3.0226,22'3,22,3,22.25,6.7818,0.445692884,556043.4452,556043.4191,405071.7707,405078.5894
81,556043.4286,405076.1122,1,5,High,2,H-502,1,H-502-1,13'9,14'2,14,2,14.1667,4.318,22'3,22,3,22.25,6.7818,0.63670412,556043.4452,556043.4191,405071.7707,405078.5894
82,556043.4213,405078.0276,1,5,High,2,H-502,1,H-502-1,19'11,20'5,20,5,20.4167,6.223,22'3,22,3,22.25,6.7818,0.917602996,556043.4452,556043.4191,405071.7707,405078.5894
83,556044.0072,405072.2049,1,5,High,2,H-502,2,H-502-2,0'11,1'5,1,5,1.4167,0.4318,22'4,22,4,22.3333,6.8072,0.063432836,556044.015,556043.8919,405071.7716,405078.603
84,556043.9994,405072.6383,0,5,High,2,H-502,2,H-502-2,2'3,2'10,2,10,2.8333,0.8636,22'4,22,4,22.3333,6.8072,0.126865672,556044.015,556043.8919,405071.7716,405078.603
85,556043.9842,405073.4795,1,5,High,2,H-502,2,H-502-2,6'0,5'7,5,7,5.5833,1.7018,22'4,22,4,22.3333,6.8072,0.25,556044.015,556043.8919,405071.7716,405078.603
86,556043.9732,405074.0912,0,5,High,2,H-502,2,H-502-2,7'2,7'7,7,7,7.5833,2.3114,22'4,22,4,22.3333,6.8072,0.339552239,556044.015,556043.8919,405071.7716,405078.603
87,556043.9718,405074.1677,1,5,High,2,H-502,2,H-502-2,7'5,7'10,7,10,7.8333,2.3876,22'4,22,4,22.3333,6.8072,0.350746269,556044.015,556043.8919,405071.7716,405078.603
88,556043.9709,405074.2187,1,5,High,2,H-502,2,H-502-2,7'6,8'0,8,0,8,2.4384,22'4,22,4,22.3333,6.8072,0.358208955,556044.015,556043.8919,405071.7716,405078.603
89,556044.5535,405073.5882,1,5,High,2,H-502,3,H-502-3,5'5,5'11,5,11,5.9167,1.8034,22'3,22,3,22.25,6.7818,0.265917603,556044.5983,556044.4297,405071.7749,405078.5939
90,556044.5295,405074.5587,0,5,High,2,H-502,3,H-502-3,8'6,9'1,9,1,9.0833,2.7686,22'3,22,3,22.25,6.7818,0.4082397,556044.5983,556044.4297,405071.7749,405078.5939
91,556056.1689,405077.708,1,5,High,9,H-509,1,H-509-1,19'7,19'9,19,9,19.75,6.0198,22'0,22,0,22,6.7056,0.897727273,556056.1571,556056.1702,405071.7081,405078.3915
92,556056.1689,405077.7333,1,5,High,9,H-509,1,H-509-1,19'9,19'10,19,10,19.8333,6.0452,22'0,22,0,22,6.7056,0.901515152,556056.1571,556056.1702,405071.7081,405078.3915
93,556056.1699,405078.2396,1,5,High,9,H-509,1,H-509-1,21'5,21'6,21,6,21.5,6.5532,22'0,22,0,22,6.7056,0.977272727,556056.1571,556056.1702,405071.7081,405078.3915
94,556056.7447,405077.4171,0,5,High,9,H-509,2,H-509-2,18'7,18'8,18,8,18.6667,5.6896,21'10,21,10,21.8333,6.6548,0.854961832,556056.7686,556056.7407,405071.6871,405078.3891
95,556056.7451,405077.3403,1,5,High,9,H-509,2,H-509-2,18'5,18'5,18,5,18.4167,5.6134,21'10,21,10,21.8333,6.6548,0.84351145,556056.7686,556056.7407,405071.6871,405078.3891
96,556056.7455,405077.238,0,5,High,9,H-509,2,H-509-2,18'0,18'1,18,1,18.0833,5.5118,21'10,21,10,21.8333,6.6548,0.828244275,556056.7686,556056.7407,405071.6871,405078.3891
97,556056.7491,405076.3683,0,5,High,9,H-509,2,H-509-2,15'2,15'3,15,3,15.25,4.6482,21'10,21,10,21.8333,6.6548,0.698473282,556056.7686,556056.7407,405071.6871,405078.3891
98,556056.7525,405075.5497,1,5,High,9,H-509,2,H-509-2,12'6,12'7,12,7,12.5833,3.8354,21'10,21,10,21.8333,6.6548,0.576335878,556056.7686,556056.7407,405071.6871,405078.3891
99,556056.7567,405074.5521,1,5,High,9,H-509,2,H-509-2,9'2,9'4,9,4,9.3333,2.8448,21'10,21,10,21.8333,6.6548,0.427480916,556056.7686,556056.7407,405071.6871,405078.3891
100,556056.7609,405073.5289,0,5,High,9,H-509,2,H-509-2,5'9,6'0,6,0,6,1.8288,21'10,21,10,21.8333,6.6548,0.27480916,556056.7686,556056.7407,405071.6871,405078.3891
101,556057.2845,405071.805,0,5,High,9,H-509,3,H-509-3,0'0,0'5,0,5,0.4167,0.127,22'0,22,0,22,6.7056,0.018939394,556057.2855,556057.2343,405071.6777,405078.3984
102,556057.2632,405074.6053,0,5,High,9,H-509,3,H-509-3,9'3,9'7,9,7,9.5833,2.921,22'0,22,0,22,6.7056,0.435606061,556057.2855,556057.2343,405071.6777,405078.3984
103,556057.2502,405076.3109,1,5,High,9,H-509,3,H-509-3,15'0,15'2,15,2,15.1667,4.6228,22'0,22,0,22,6.7056,0.689393939,556057.2855,556057.2343,405071.6777,405078.3984
104,556078.3497,405071.7751,0,5,Low,3,L-503,1,L-503-1,0'8,0'8,0,8,0.6667,0.2032,20'9,20,9,20.75,6.3246,0.032128514,556078.3516,556078.2938,405071.5675,405078.0306
105,556078.3256,405074.4746,0,5,Low,3,L-503,1,L-503-1,9'4,9'4,9,4,9.3333,2.8448,20'9,20,9,20.75,6.3246,0.449799197,556078.3516,556078.2938,405071.5675,405078.0306
106,556078.3042,405076.8626,0,5,Low,3,L-503,1,L-503-1,17'0,17'0,17,0,17,5.1816,20'9,20,9,20.75,6.3246,0.819277108,556078.3516,556078.2938,405071.5675,405078.0306
107,556078.2964,405077.7451,1,5,Low,3,L-503,1,L-503-1,19'10,19'10,19,10,19.8333,6.0452,20'9,20,9,20.75,6.3246,0.955823293,556078.3516,556078.2938,405071.5675,405078.0306
108,556078.8204,405073.2077,1,5,Low,3,L-503,2,L-503-2,4'10,5'5,5,5,5.4167,1.651,21'4,21,4,21.3333,6.5024,0.25390625,556078.8245,556078.8084,405071.5669,405078.029
109,556079.3096,405074.2964,1,5,Low,3,L-503,3,L-503-3,8'4,9'0,9,0,9,2.7432,21'3,21,3,21.25,6.477,0.423529412,556079.3111,556079.3076,405071.5561,405078.0262
110,556079.3096,405074.3725,0,5,Low,3,L-503,3,L-503-3,8'10,9'3,9,3,9.25,2.8194,21'3,21,3,21.25,6.477,0.435294118,556079.3111,556079.3076,405071.5561,405078.0262
111,556079.311,405071.7845,0,5,Low,3,L-503,3,L-503-3,0'6,0'9,0,9,0.75,0.2286,21'3,21,3,21.25,6.477,0.035294118,556079.3111,556079.3076,405071.5561,405078.0262
112,556079.3094,405074.7531,0,5,Low,3,L-503,3,L-503-3,10'1,10'6,10,6,10.5,3.2004,21'3,21,3,21.25,6.477,0.494117647,556079.3111,556079.3076,405071.5561,405078.0262
113,556079.3092,405075.0576,1,5,Low,3,L-503,3,L-503-3,11'0,11'6,11,6,11.5,3.5052,21'3,21,3,21.25,6.477,0.541176471,556079.3111,556079.3076,405071.5561,405078.0262
114,556079.3081,405077.0874,1,5,Low,3,L-503,3,L-503-3,17'10,18'2,18,2,18.1667,5.5372,21'3,21,3,21.25,6.477,0.854901961,556079.3111,556079.3076,405071.5561,405078.0262
